time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-06-25T23:24:00.480Z,19.4116669,-155.2769928,0.47,2.68,ml,34,38,0.008974,0.17,hv,hv70320816,2018-06-25T23:38:27.730Z,"4km WSW of Volcano, Hawaii",earthquake,0.23,0.14,2.01,23,automatic,hv,hv
2018-06-25T23:10:53.090Z,19.4146671,-155.2756653,1.3,2.88,ml,14,86,0.008497,0.15,hv,hv70320781,2018-06-25T23:16:42.030Z,"4km WSW of Volcano, Hawaii",earthquake,0.51,0.25,0.26,5,automatic,hv,hv
2018-06-25T23:10:31.340Z,19.3910007,-155.2696686,-0.05,2.79,ml,26,49,0.00574,0.39,hv,hv70320776,2018-06-25T23:16:21.390Z,"5km SW of Volcano, Hawaii",earthquake,0.31,0.35,0.51,19,automatic,hv,hv
2018-06-25T23:08:06.920Z,19.4088326,-155.2769928,0.51,3.04,ml,32,31,0.01105,0.21,hv,hv70320766,2018-06-25T23:37:26.081Z,"4km WSW of Volcano, Hawaii",earthquake,0.22,0.13,2.52,28,automatic,hv,hv
2018-06-25T23:05:34.510Z,19.4063339,-155.2606659,0.38,2.56,ml,24,88,0.005771,0.2,hv,hv70320746,2018-06-25T23:11:21.520Z,"3km SW of Volcano, Hawaii",earthquake,0.18,0.18,0.42,11,automatic,hv,hv
2018-06-25T23:02:35.590Z,19.3966675,-155.2686615,0.88,3.13,ml,22,42,0.002935,0.26,hv,hv70320741,2018-06-26T00:36:07.927Z,"4km SW of Volcano, Hawaii",earthquake,0.3,0.39,0.55,18,automatic,hv,hv
2018-06-25T23:01:04.690Z,19.2110004,-155.4519958,29.01,2.86,ml,49,114,0.05612,0.31,hv,hv70320736,2018-06-25T23:39:21.721Z,"3km ENE of Pahala, Hawaii",earthquake,0.77,1.28,3.24,35,automatic,hv,hv
2018-06-25T22:58:04.250Z,19.4266663,-155.2828369,0.78,3.16,ml,15,138,0.00531,0.2,hv,hv70320726,2018-06-25T23:03:51.670Z,"4km W of Volcano, Hawaii",earthquake,0.41,0.31,1.58,12,automatic,hv,hv
2018-06-25T22:57:02.650Z,19.4178333,-155.2701721,0.59,2.98,ml,39,39,0.009492,0.3,hv,hv70320721,2018-06-25T23:16:19.223Z,"3km WSW of Volcano, Hawaii",earthquake,0.34,0.17,2.88,33,automatic,hv,hv
2018-06-25T22:55:20.310Z,19.4066658,-155.284668,1.81,2.51,md,12,128,0.01095,0.22,hv,hv70320716,2018-06-25T22:58:34.810Z,"5km WSW of Volcano, Hawaii",earthquake,0.86,0.28,0.38,4,automatic,hv,hv
